Airline,Duration,Total stops,Price,Date,Date scraped,Source_DUB,Source_IBZ,Source_MAD,Source_TFN,Destination_DUB,Destination_IBZ,Destination_MAD,Destination_TFN
Multiple Airlines,470,2,140,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
Vueling,380,1,98,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",305,1,160,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",315,1,167,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",390,1,156,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
Iberia,750,1,107,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
Iberia,1005,1,114,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
Iberia,380,1,339,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",520,1,156,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
British Airways,750,1,148,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",880,1,150,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",690,1,167,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
Multiple Airlines,465,2,199,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",655,2,151,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
"Iberia, Iberia Express",750,1,181,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
British Airways,740,1,263,2023-12-15,2023-05-12,1,0,0,0,0,1,0,0
Aer Lingus,155,0,251,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
Iberia Express,155,0,242,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"Transavia, Renfe",1039,2,143,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
Vueling,155,0,244,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,246,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,251,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia Express",435,1,183,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Air Europa",335,1,202,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia",435,1,189,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, easyJet",550,1,175,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"TAP AIR PORTUGAL, easyJet",315,1,240,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
KLM,305,1,347,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
TAP AIR PORTUGAL,350,1,290,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
TAP AIR PORTUGAL,490,1,228,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
KLM,310,1,498,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Air Europa",605,1,200,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
TAP AIR PORTUGAL,515,1,270,2023-11-12,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,170,0,201,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Vueling,155,0,167,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Air Europa",380,1,99,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Iberia Express,155,0,170,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,176,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,170,0,194,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,201,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Vueling,380,1,108,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Iberia,170,0,247,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia",345,1,131,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia Express",390,1,123,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia",390,1,130,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Iberia",345,1,148,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Air Europa",335,1,187,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
KLM,310,1,331,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Vueling",580,1,130,2023-12-12,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,117,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Iberia Express,155,0,106,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Vueling,675,1,63,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,117,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,118,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Vueling,155,0,150,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Vueling,430,1,94,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Air Europa",675,1,72,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
KLM,305,1,198,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
KLM,320,1,235,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Air Europa",380,1,151,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
KLM,375,1,208,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
KLM,310,1,358,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Lufthansa,355,1,370,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
